
11/11/2019 07:16:33:060,120,60,75,off,41.396197,2.171826,8,4
11/11/2019 07:21:15:441,120,59,83,off,41.381013,2.14097,6,4
11/11/2019 07:26:42:998,120,56,44,off,41.368017,2.022895,1,4
11/11/2019 07:31:39:058,120,56,36,off,41.316126,2.07436,17,4
11/11/2019 07:36:49:238,120,59,115,off,41.390131,2.021385,20,4
11/11/2019 07:41:23:104,120,56,64,off,41.312096,2.095997,1,4
11/11/2019 07:46:07:754,120,58,40,off,41.367667,2.051757,5,4
11/11/2019 07:51:51:685,120,69.6,27,on,41.367571,2.134637,7,5
11/11/2019 07:56:21:249,120,79.8,102,on,41.350206,2.050179,18,5
11/11/2019 08:01:15:842,120,69.6,102,on,41.356281,2.073514,10,5
11/11/2019 08:06:34:373,120,57,98,off,41.302874,2.136025,13,4
11/11/2019 08:11:34:968,120,60,99,off,41.387263,2.104315,3,4
11/11/2019 08:16:53:609,120,58,117,off,41.396197,2.171826,20,4
11/11/2019 08:21:19:384,120,60,29,off,41.313175,2.087295,5,4
11/11/2019 08:26:39:278,120,56,131,off,41.395807,2.184186,3,4
11/11/2019 08:31:10:233,120,57,28,off,41.375372,2.11555,5,4
11/11/2019 08:36:25:840,120,58,21,off,41.349353,2.087784,16,4
11/11/2019 08:41:06:092,120,60,146,off,41.358479,2.058209,4,4
11/11/2019 08:46:00:177,120,59,90,off,41.33952,2.0855,2,4
11/11/2019 08:51:41:832,120,57,58,off,41.312022,2.090716,18,4
11/11/2019 08:56:20:485,120,58,53,off,41.351309,2.116248,5,4
11/11/2019 09:01:53:548,120,57,37,off,41.369156,2.193822,8,4
11/11/2019 09:06:52:095,120,60,143,off,41.321035,2.086566,9,4
11/11/2019 09:11:33:105,120,58,91,off,41.350713,2.028103,2,4
11/11/2019 09:16:18:660,120,56,129,off,41.394409,2.186333,1,4
11/11/2019 09:21:11:784,120,59,52,off,41.353837,2.032537,1,4
11/11/2019 09:26:20:075,120,57,20,off,41.369387,2.080683,2,4
11/11/2019 09:31:43:752,120,57,28,off,41.396567,2.115117,13,4
11/11/2019 09:36:52:945,120,60,139,off,41.354479,2.078175,12,4
11/11/2019 09:41:43:389,120,62.7,60,on,41.31844,2.039889,8,5
11/11/2019 09:46:29:639,120,76.7,91,on,41.353764,2.083713,11,5
11/11/2019 09:51:05:563,120,78,108,on,41.380175,2.130203,20,5
11/11/2019 09:56:36:186,120,57,92,off,41.311089,2.113037,12,4
11/11/2019 10:01:38:773,120,58,33,off,41.382271,2.058217,7,4
11/11/2019 10:06:18:412,120,57,119,off,41.377566,2.006729,5,4
11/11/2019 10:11:22:791,120,57,110,off,41.395858,2.181276,14,4
11/11/2019 10:16:09:579,120,56,121,off,41.358439,2.150734,7,4
11/11/2019 10:21:59:837,120,60,95,off,41.385557,2.002384,14,4
11/11/2019 10:26:46:836,120,56,51,off,41.380476,2.150214,10,4
11/11/2019 10:31:30:140,120,57,149,off,41.315814,2.000251,17,4
11/11/2019 10:36:25:003,120,58,70,off,41.349702,2.132797,5,4
11/11/2019 10:41:55:101,120,57,144,off,41.328107,2.015722,3,4
11/11/2019 10:46:11:195,120,56,80,off,41.394804,2.027562,4,4
11/11/2019 10:51:34:654,120,57,133,off,41.345166,2.057021,5,4
11/11/2019 10:56:14:283,120,58,104,off,41.31163,2.149913,16,4
11/11/2019 11:01:21:639,120,57,83,off,41.378425,2.164203,6,4
11/11/2019 11:06:46:713,120,58,145,off,41.344759,2.060029,17,4
11/11/2019 11:11:13:238,120,56,104,off,41.38554,2.046547,16,4
11/11/2019 11:16:34:023,120,56,147,off,41.378655,2.05713,7,4
11/11/2019 11:21:30:397,120,58,138,off,41.324691,2.096245,6,4
11/11/2019 11:26:28:530,120,57,29,off,41.312005,2.166603,5,4
11/11/2019 11:31:40:355,120,56,135,off,41.302824,2.144493,18,4
11/11/2019 11:36:40:474,120,56,64,off,41.315325,2.095835,17,4
11/11/2019 11:41:05:627,120,56,90,off,41.374115,2.189949,5,4
11/11/2019 11:46:02:912,120,56,70,off,41.35079,2.193878,7,4
11/11/2019 11:51:08:672,120,60,97,off,41.395199,2.007613,13,4
11/11/2019 11:56:51:826,120,58,118,off,41.304511,2.146989,7,4
11/11/2019 12:01:50:484,120,56,80,off,41.31357,2.186325,2,4
11/11/2019 12:06:46:546,120,58,88,off,41.392232,2.014721,11,4
11/11/2019 12:11:25:584,120,57,66,off,41.318023,2.076427,3,4
11/11/2019 12:16:54:304,120,58,87,off,41.340958,2.040529,8,4
11/11/2019 12:21:01:080,120,56,40,off,41.343906,2.191609,4,4
11/11/2019 12:26:27:167,120,56,76,off,41.395383,2.018365,3,4
11/11/2019 12:31:11:254,120,59,56,off,41.304783,2.099793,10,4
11/11/2019 12:36:15:318,120,60,73,off,41.333321,2.160041,3,4
11/11/2019 12:41:45:561,120,56,55,off,41.386303,2.123738,8,4
11/11/2019 12:46:06:174,120,57,35,off,41.398549,2.099081,8,4
11/11/2019 12:51:39:730,120,57,43,off,41.369699,2.077739,19,4
11/11/2019 12:56:48:163,120,58,28,off,41.348504,2.183428,18,4
11/11/2019 13:01:26:091,120,56,146,off,41.344732,2.088961,20,4
11/11/2019 13:06:50:187,120,60,104,off,41.323128,2.170112,11,4
11/11/2019 13:11:35:695,120,59,110,off,41.32645,2.153481,8,4
11/11/2019 13:16:45:664,120,56,100,off,41.395017,2.000428,7,4
11/11/2019 13:21:37:481,120,58,72,off,41.30438,2.124537,18,4
11/11/2019 13:26:23:302,120,59,112,off,41.320617,2.134172,14,4
11/11/2019 13:31:58:398,120,57,47,off,41.312033,2.198758,13,4
11/11/2019 13:36:08:164,120,58,104,off,41.353212,2.190105,9,4
11/11/2019 13:41:15:470,120,57,66,off,41.366914,2.059662,14,4
11/11/2019 13:46:10:543,120,60,0,off,41.347517,2.119041,9,3
11/11/2019 13:51:49:402,120,59,0,off,41.335545,2.04472,15,3
11/11/2019 13:56:47:680,120,56,0,off,41.329826,2.191921,4,3
11/11/2019 14:01:18:042,120,58,0,off,41.364819,2.078538,10,3
11/11/2019 14:06:12:352,120,59,0,off,41.338142,2.096827,15,3
11/11/2019 14:11:51:301,120,57,0,off,41.396119,2.18738,2,3
11/11/2019 14:16:51:340,120,57,0,off,41.309605,2.105764,11,3
11/11/2019 14:21:30:712,120,58,0,off,41.378401,2.050966,11,3
11/11/2019 14:26:48:326,120,57,0,off,41.381792,2.043871,12,3
11/11/2019 14:31:32:018,120,59,0,off,41.368141,2.033178,1,3
11/11/2019 14:36:51:930,120,57,0,off,41.356597,2.011772,7,3
11/11/2019 14:41:19:129,120,56,0,off,41.36186,2.062329,5,3
11/11/2019 14:46:22:057,120,56,0,off,41.309887,2.000584,16,3
11/11/2019 14:51:20:618,120,59,31,off,41.309235,2.026848,12,4
11/11/2019 14:56:36:438,120,60,122,off,41.372759,2.106938,6,4
11/11/2019 15:01:15:432,120,58,44,off,41.310845,2.072247,2,4
11/11/2019 15:06:13:999,120,59,61,off,41.360916,2.092817,6,4
11/11/2019 15:11:41:448,120,56,122,off,41.366146,2.129464,18,4
11/11/2019 15:16:15:393,120,60,67,off,41.32007,2.196383,12,4
11/11/2019 15:21:00:885,120,56,53,off,41.361996,2.137632,8,4
11/11/2019 15:26:03:783,120,59,116,off,41.348738,2.035983,14,4
11/11/2019 15:31:17:975,120,57,138,off,41.321729,2.067575,14,4
11/11/2019 15:36:54:090,120,57,102,off,41.303726,2.068463,10,4
11/11/2019 15:41:12:698,120,58,141,off,41.394419,2.045492,5,4
11/11/2019 15:46:10:575,120,56,42,off,41.338327,2.199034,15,4
11/11/2019 15:51:06:081,120,56,139,off,41.347965,2.096855,3,4
11/11/2019 15:56:15:787,120,57,149,off,41.307223,2.192421,3,4
11/11/2019 16:01:22:583,120,59,150,off,41.391624,2.100432,13,4
11/11/2019 16:06:50:506,120,57,130,off,41.363521,2.027462,3,4
11/11/2019 16:11:17:627,120,58,102,off,41.334936,2.166444,10,4
11/11/2019 16:16:47:675,120,56,121,off,41.306092,2.146427,3,4
11/11/2019 16:21:34:865,120,59,41,off,41.384176,2.062514,18,4
11/11/2019 16:26:40:220,120,57,92,off,41.334725,2.125717,10,4
11/11/2019 16:31:08:459,120,59,124,off,41.304891,2.181878,12,4
11/11/2019 16:36:46:738,120,60,65,off,41.336477,2.14616,12,4
11/11/2019 16:41:21:434,120,59,96,off,41.375826,2.123481,4,4
11/11/2019 16:46:37:400,120,59,69,off,41.378235,2.196449,8,4
11/11/2019 16:51:46:310,120,58,70,off,41.362319,2.169915,1,4
11/11/2019 16:56:58:048,120,57,93,off,41.383549,2.103802,16,4
11/11/2019 17:01:49:765,120,60,74,off,41.389519,2.182771,1,4
11/11/2019 17:06:47:245,120,60,135,off,41.395559,2.178256,4,4
